阿姨,ā yí,maternal aunt
啊,a,modal particle ending sentence
矮,ǎi,low
爱好,ài hào,to like
安静,ān jìng,quiet
把,bǎ,to hold
搬,bān,to move
班,bān,team
半,bàn,half
办法,bàn fǎ,means
办公室,bàn gōng shì,office
帮忙,bāng máng,to help
包,bāo,to cover
饱,bǎo,to eat till full
北方,běi fāng,north
被,bèi,quilt
鼻子,bí zi,nose
比较,bǐ jiào,to compare
比赛,bǐ sài,competition (sports etc)
必须,bì xū,to have to
变化,biàn huà,change
表示,biǎo shì,to express
表演,biǎo yǎn,play
别人,bié ren,other people
宾馆,bīn guǎn,guesthouse
冰箱,bīng xiāng,icebox
才,cái,a moment ago
菜单,cài dān,menu
参加,cān jiā,to participate
草,cǎo,grass
层,céng,layer
差,chà,to differ from
超市,chāo shì,supermarket (abbr.)
衬衫,chèn shān,shirt
成绩,chéng jì,achievement
城市,chéng shì,city
迟到,chí dào,to arrive late
出现,chū xiàn,to appear
除了,chú le,besides
厨房,chú fáng,kitchen
春,chūn,spring (time)
词语,cí yǔ,word (general term including monosyllables through to short phrases)
聪明,cōng ming,acute (of sight and hearing)
打扫,dǎ sǎo,to clean
打算,dǎ suàn,to plan
带,dài,band
担心,dān xīn,anxious
蛋糕,dàn gāo,cake
当然,dāng rán,only natural
地,de,-ly
灯,dēng,lamp
低,dī,low
地方,dì fang,area
地铁,dì tiě,subway
地图,dì tú,map
电梯,diàn tī,elevator
电子,diàn zǐ,electronic
冬,dōng,sound of beating a drum
东,dōng,east
动物,dòng wù,animal
短,duǎn,short or brief
段,duàn,paragraph
锻炼,duàn liàn,to engage in physical exercise
多么,duō me,how (wonderful etc)
饿,è,to be hungry
而且,ér qiě,(not only ...) but also
耳朵,ěr duo,ear
发烧,fā shāo,to have a high temperature (from illness)
发现,fā xiàn,to find
方便,fāng biàn,convenient
放,fàng,to release
放心,fàng xīn,to feel relieved
分,fēn,to divide
附近,fù jìn,(in the) vicinity
复习,fù xí,variant of 復習|复习
干净,gān jìng,clean
敢,gǎn,to dare
感冒,gǎn mào,to catch cold
刚才,gāng cái,(just) a moment ago
根据,gēn jù,according to
跟,gēn,heel
更,gèng,more
公园,gōng yuán,public park
故事,gù shi,narrative
刮,guā,to blow (of the wind)
关,guān,mountain pass
关系,guān xì,variant of 關係|关系[guān xì]
关心,guān xīn,to care for sth
关于,guān yú,pertaining to
国家,guó jiā,country
果汁,guǒ zhī,fruit juice
过去,guò qu,(in the) past
还是,hái shi,or
害怕,hài pà,to be afraid
河,hé,river
黑板,hēi bǎn,blackboard
护照,hù zhào,passport
花,huā,flower
花园,huā yuán,garden
画,huà,to draw
坏,huài,bad
环境,huán jìng,environment
换,huàn,to change
黄,huáng,yellow
会议,huì yì,meeting
或者,huò zhě,or
机会,jī huì,opportunity
几乎,jī hū,almost
极,jí,extremely
记得,jì de,to remember
季节,jì jié,time
检查,jiǎn chá,inspection
简单,jiǎn dān,simple
见面,jiàn miàn,to meet
健康,jiàn kāng,health
讲,jiǎng,to speak
教,jiāo,to teach
脚,jiǎo,foot
角,jiǎo,angle
接,jiē,to receive
街道,jiē dào,street
节目,jié mù,program
节日,jié rì,holiday
结婚,jié hūn,to marry
结束,jié shù,termination
解决,jiě jué,to settle (a dispute)
借,jiè,to lend
经常,jīng cháng,day to day
经过,jīng guò,to pass
经理,jīng lǐ,manager
久,jiǔ,(long) time
旧,jiù,old
举行,jǔ xíng,to hold (a meeting
句子,jù zi,sentence
决定,jué dìng,to decide (to do something)
渴,kě,thirsty
可爱,kě ài,adorable
刻,kè,quarter (hour)
客人,kè rén,visitor
空调,kōng tiáo,air conditioning
口,kǒu,mouth
哭,kū,to cry
裤子,kù zi,trousers
筷子,kuài zi,chopsticks
蓝,lán,blue
老,lǎo,old
离开,lí kāi,to depart
礼物,lǐ wù,gift
历史,lì shǐ,history
脸,liǎn,face
练习,liàn xí,exercise
辆,liàng,classifier for vehicles
了解,liǎo jiě,to understand
邻居,lín jū,neighbor
楼,lóu,house with more than 1 story
绿,lǜ,green
马,mǎ,horse
马上,mǎ shàng,at once
满意,mǎn yì,satisfied
帽子,mào zi,hat
米,mǐ,rice
面包,miàn bāo,bread
面条,miàn tiáo,noodles
明白,míng bai,clear
拿,ná,to hold
